CIN_ID,BLOG_CAFE_CIN_KWD,NAVER_CAFE_NCNT,NAVER_CAFE_VIEW_NCNT,NAVER_CAFE_REP_NCNT
mv20190925005,영화 양자물리학,141,31076,333
mv20190925006,원스 어폰 어 타임 인 할리우드,47,19531,244
mv20190925007,장사리 잊혀진 영웅들,44,3920,85
mv20190926002,마왕의 딸 이리샤,16,694,62
mv20190926003,영화 메기,66,5541,306
mv20190926004,슈퍼 햄찌,7,230,14
mv20190926006,아워 바디,33,3479,111
mv20190926007,영화 애월,1,26,0
mv20190926008,와인스타인,13,593,47
mv20190926009,체인지 오버,30,1129,63
mv20190926010,헬로우 평양,2,163,0
mv20191002001,가장 보통의 연애,96,15166,581
mv20191002002,소피와 드래곤 마법책의 비밀,2,75,0
mv20191002003,영화 조커,158,36005,852
mv20191002005,퍼펙트맨,138,14494,611
mv20191003001,계절과 계절 사이,12,494,25
mv20191003002,나의 노래는 멀리멀리,12,360,16
mv20191003004,미드소마,11,1423,44
mv20191003006,트루 시크릿,26,980,42
mv20191009001,디어 마이 프렌드,40,1466,90
mv20191009002,수상한 이웃,16,1295,36
mv20191009003,잃어버린 세계를 찾아서,4,314,31
mv20191009004,제미니 맨,68,4851,268
mv20191009005,쿵푸 보이,1,19,2
mv20191009006,판소리 복서,72,8296,200
mv20191010001,여배우들의 티타임,16,614,24
mv20191010002,영화 여수 밤바다,1,47,3
mv20191010003,열두 번째 용의자,15,1388,66
mv20191016001,너를 만난 여름,52,3834,176
mv20191016002,영화 버티고,49,2394,182
mv20191017003,두번할까요,56,3932,139
mv20191017005,말레피센트 2,51,5858,337
mv20191017007,영화 신문기자,25,1869,65
mv20191017008,오늘도 위위,13,497,48
mv20191017009,영화 와일드 로즈,67,2342,148
mv20191017010,재혼의 기술,25,941,55
mv20191023001,82년생 김지영,89,30097,452
mv20191023002,람보 라스트워,76,4435,288
mv20191023003,빅트립,4,154,9
mv20191023004,체크 히어로,16,929,53
mv20191024001,영화 경계선,30,2592,100
mv20191024002,버스데이 원더랜드,2,116,6
mv20191024003,스노우 화이트,20,1266,26
mv20191024004,시크릿 슈퍼스타,34,1901,156
mv20191024006,퍼펙트 스트레인저,20,756,44
mv20191030001,날씨의 아이,168,29116,645
mv20191030002,영화 니나 내나,22,1768,61
mv20191030003,빅 2 황금열쇠 대소동,1,48,0
mv20191030006,엔젤 오브 마인,36,4174,76
mv20191030007,영화 쿠엔틴 타란티노,13,1993,65
mv20191030008,터미네이터 다크페이트,82,11411,321
mv20191030009,프렌드 존,34,1446,78
mv20191030010,영화 하이 라이프,11,533,34
mv20191031001,영화 오늘 우리,17,659,5
mv20191031002,우먼 인 할리우드,11,833,21
mv20191031004,텔 잇 투 더 비즈,5,233,2
mv20191107001,닥터 슬립,54,7251,236
mv20191107002,영화 더 빌리지,16,778,32
mv20191107004,신의 한 수 귀수편,82,11263,325
mv20191107005,열여섯의 봄,16,659,67
mv20191107006,왓 데이 해드,23,888,26
mv20191107008,캔 유 킵 어 시크릿,23,1179,53
mv20191107009,타이페이 스토리,7,278,2
mv20191107010,패트와 매트 우당탕탕 크리스마스,1,212,1
mv20191113001,블랙 머니,114,11339,382
mv20191113002,어쩌다 룸메이트,31,162,7
mv20191113003,엔젤 해즈 폴른,37,1223,101
mv20191113004,좀비랜드 더블 탭,34,2333,94
mv20191114002,늑대의 아이들,7,222,20
mv20191114004,더 컨덕터,36,1084,87
mv20191114005,마법 안개의 비밀,10,292,19
mv20191114006,영화 삽질,33,2260,53
mv20191114007,영화 심판,33,2811,81
mv20191114008,영하의 바람,43,3878,110
mv20191114010,윤희에게,202,13527,293
mv20191114011,카메라를 멈추면 안돼 스핀오프 할리우드 대작전,5,340,15
mv20191114012,캡티브 스테이트,5,205,12
mv20191114013,헬로 몽키,1,20,0
mv20191121001,겨울왕국 2,229,66317,1209
mv20191121002,영화 시빌,26,1400,48
mv20191121003,아빠는 예쁘다,19,936,50
mv20191121004,어제 일은 모두 괜찮아,24,1228,61
mv20191121005,얼굴없는 보스,17,1297,50
mv20191121006,접전 갑을 전쟁,6,421,12
mv20191121007,코끼리는 그곳에 있어,6,505,37
mv20191121009,프란치스코 교황 맨 오브 히스 워드,5,377,16
mv20191121010,영화 헤로니모,1,214,0
mv20191127001,나를 찾아줘,39,14691,188
mv20191127002,러브 앳,59,7274,160
mv20191127003,오피셜 시크릿,17,1018,31
mv20191127004,영화 카센타,29,4954,108
mv20191127005,영화 크롤,86,7979,397
mv20191127006,영화 허슬러,67,4462,238
mv20191128004,영화 삼촌,4,433,19
mv20191128005,수퍼 디스코,2,40,6
mv20191128006,영화 앵커,1,55,3
mv20191128007,영화 어메이징 그레이스,9,324,8
mv20191128008,우리를 갈라놓는 것들,4,99,6
mv20191128009,영화 집 이야기,36,1931,143
mv20191128010,행동하는 양심 김대중,6,237,30
mv20191204001,감쪽같은 그녀,72,7265,191
mv20191204002,나이브스 아웃,115,14894,538
mv20191204003,너의 여자친구,22,1045,43
mv20191204004,아직 사랑하고 있습니까,1,1263,3
mv20191205001,굿 라이어,41,2037,116
mv20191205003,영화 라스트 크리스마스,16,763,67
mv20191205005,파비안느에 관한 진실,33,3695,120
mv20191211001,영화 매리,15,939,50
mv20191211002,아내를 죽였다,41,2758,125
mv20191211003,쥬만지 넥스트 레벨,24,2007,100
mv20191212004,영화 더 하우스,6,592,12
mv20191212005,영화 드래곤 빌리지,1,12,1
mv20191212007,영화 디에고,17,1322,94
mv20191212012,산타 앤 컴퍼니,13,432,24
mv20191212013,영화 샐린저,5,150,21
mv20191212014,영화 속물들,22,1826,78
mv20191212015,아스테릭스 마법 물약의 비밀,1,9,0
mv20191212016,영화로운 나날,9,606,26
mv20191212017,영화 월성,7,356,23
mv20191212019,영화 카운트 다운,4,287,14
mv20191213001,영화 깡패들,1,200,3
mv20191218001,영화 시동,181,35384,929
mv20191219001,미안해요 리키,52,3064,303
mv20191219002,영화 백두산,181,34868,925
mv20191219004,신비아파트 극장판: 하늘도깨비 대 요르문간드,4,299,4
mv20191219005,영화 호흡,33,3422,173
mv20191224001,눈의 여왕4,12,614,30
mv20191224002,영화 캣츠,96,12286,640
mv20191224003,프린스 코기,29,2000,110
mv20191225001,영화 와일드 라이프,33,1747,135
mv20191226001,고흐 영원의 문에서,26,1770,132
mv20191226003,천문 하늘에 묻는다,83,14494,501
mv20191231001,영화 미드웨이,149,25544,473
