title|watcher_score|expert_score|netizen_score
진범|7.42|6.33|6.33
극장판 엉덩이 탐정: 화려한 사건 수첩|5.71|6.00|3.99
난폭한 기록|7.82|5.00|3.75
마리아 칼라스: 세기의 디바|8.76|6.33|8.69
우리는 언제나 성에 살았다|6.60|5.80|6.95
조|8.42|5.67|8.45
죽음을 거스른 사나이|||
벤트: 마약의 도시|||5.00
나이트메어 시네마|1.00|5.00|3.67
라이온 킹|8.64|6.00|8.27
사일런스|7.35|4.00|5.34
극장판 샤이닝스타:새로운 루나퀸의 탄생!|10.0|6.00|9.09
꼬마 물고기 이자벨: 바다 대모험|5.33||5.24
발광하는 현대사|8.57||6.62
수영장으로 간 남자들|9.06|5.80|9.08
이케아 옷장에서 시작된 특별난 여행|9.02|5.00|8.19
인크레더블 손오공|||2.20
상간녀 살인사건|||6.83
나랏말싸미|6.74|6.45|3.37
롱 샷|8.86|5.50|7.95
명탐정 코난: 감청의 권|7.14|6.00|5.01
굿바이 썸머|5.92|6.00|6.36
그녀들을 도와줘||7.00|7.21
돈 워리|8.08|6.80|8.21
레드슈즈|9.15|6.00|9.22
매니페스토|8.50|6.20|7.09
무간도 외전|||2.48
주전장|9.67|7.33|9.49
지구 최후의 밤|7.48|8.00|7.45
캘리포니아 타이프라이터|||8.70
쿵푸몬스터: 무림괴수전|||4.00
파리 에듀케이션||7.00|8.75
데드 돈 다이|6.69|7.00|4.68
마이펫의 이중생활 2|9.00|6.00|8.76
사자|7.90|4.78|6.88
엑시트|8.99|7.23|8.29
누구나 아는 비밀|7.78|6.83|7.80
동경|||8.00
알랭 뒤카스: 위대한 여정|8.82|5.00|8.61
워파이터|||3.83
도신 외전|||3.00
봉오동 전투|9.06|5.30|7.92
앵그리 버드 2: 독수리 왕국의 침공|8.96|6.00|8.44
캐리tv 러브콘서트 더 무비|7.19||8.11
김복동|9.84|6.60|8.83
나는 예수님이 싫다|8.67|7.00|6.92
앨리스 죽이기|10.0|6.00|4.37
호크니|8.25|5.33|8.12
쥬|||
더 바이 바이 맨|||4.25
분노의 질주: 홉스&쇼|8.83|6.00|7.83
안녕, 티라노: 영원히, 함께|8.60|6.00|7.58
원더랜드|||
인면어: 저주의 시작||4.50|4.39
투모로우 2019: 지구 대 빙하기|||
밤의 문이 열린다|7.88|6.43|7.44
사랑의 선물|9.72||9.07
수상한 교수|6.13|5.00|6.44
암전|5.06|5.25|4.70
이타미 준의 바다|8.94|6.50|8.94
지구 공룡 대탐험|4.67||5.76
딥 스페이스: 외계접촉|||
메시지 맨|||
광대들: 풍문조작단|7.55|4.57|6.47
룩 어웨이|10.0|5.00|7.25
변신|||
블루스 인 인디아|10.0|3.00|6.47
감염: 지구 최후의 날|||
나만 없어 고양이|8.10|5.33|7.57
당나귀 공주|||7.18
도심속의 방|||6.00
디터 람스|9.30|6.00|9.28
라라와 움직이는 비밀의 숲|6.00||5.33
로슈포르의 숙녀들|8.40||8.15
롤라|||
애프터|7.38|5.00|7.29
우리집|8.90|6.90|8.73
청춘 돼지는 꿈꾸는 소녀의 꿈을 꾸지 않는다|9.11||8.65
커런트 워|7.47|5.50|7.76
건달티처|||2.46
47미터 2|8.17|4.00|6.97
동키 킹|9.50||6.86
블라인드 멜로디|8.47|6.67|8.18
안나|||
유열의 음악앨범|7.80|7.13|6.16
인비저블 위트니스||5.00|7.54
벌새|8.97|8.38|8.76
불빛 아래서|9.57|5.50|9.64
후로티로봇 극장판|7.50||6.54
갈까부다|8.00|6.00|9.56
고봉수 감독 단편선|||8.75
9월의 사랑과 만날때까지|||
그것: 두 번째 이야기|7.83|6.75|6.22
극장판 헬로카봇 : 달나라를 구해줘!|7.92|5.00|7.51
틴 스피릿|8.00|5.75|6.30
갱스터 파라다이스|||
동물, 원|9.88|7.20|8.64
아빠는 딸|||
안녕 베일리|9.20|5.50|9.39
폭설|||
침입자들|||
극장판 반지의 비밀일기|9.25|7.00|9.05
나쁜 녀석들: 더 무비|8.16|4.83|6.44
오토의 클래식 음악여행|||
지구 침공의 날 2019|||1.00
타짜: 원 아이드 잭|6.80|5.43|5.34
플레이모빌: 더 무비|8.23|5.00|8.52
힘을 내요, 미스터 리|8.36|5.17|7.63
100일동안 100가지로 100퍼센트 행복찾기|8.63|5.50|8.88
파라노말 액티비티 2019|||10.00
예스터데이|8.03|5.86|6.42
디스트로이어|7.00|6.00|6.80
발명왕 볼트|4.67||5.06
뷰티풀 보이|8.37|5.50|8.36
비뚤어진 집|7.63|5.60|6.32
애드 아스트라|8.24|7.38|7.25
언더 더 실버레이크|10.0|6.67|5.83
더 룸|9.00|5.67|7.64
레플리카|||
미드 90|8.09|6.67|8.27
앳 퍼스트 라이트||5.00|6.27
양자물리학|8.44|4.80|8.29
원스 어폰 어 타임... 인 할리우드|8.06|7.90|7.67
장사리: 잊혀진 영웅들|8.41|5.00|8.24
CIA 데빌헌터|||
마왕의 딸 이리샤|8.81|5.00|6.46
메기|8.78|6.83|8.26
슈퍼 햄찌|6.50||6.87
스페셜 솔져|||7.33
아워 바디|7.35|6.00|6.63
애월|8.91|5.00|7.96
와인스타인||6.00|9.06
체인지 오버|9.00||6.17
헬로우 평양|8.67|5.00|4.92
가장 보통의 연애|8.54|6.33|7.73
소피와 드래곤: 마법책의 비밀|5.75|5.00|4.26
조커|8.97|7.64|8.66
테러 라이브: 싸이코패스|||0.00
퍼펙트맨|8.51|5.00|7.83
홍금보의 라이프타임 트레저|||
계절과 계절 사이|8.33|5.00|8.34
나의 노래는 멀리멀리|8.86|6.00|9.66
몬스터 하우스|8.50||8.29
미드소마|7.68|7.20|6.44
오션스: 문어구출대작전|4.88||4.97
트루 시크릿|8.84|6.00|8.69
우주전쟁 2019|||
적인걸 5: 측천무후 지유명도|||5.20
디어 마이 프렌드||4.50|8.67
수상한 이웃|3.00|4.00|6.00
잃어버린 세계를 찾아서|8.07|7.00|8.20
제미니 맨|8.56|5.00|6.57
쿵푸 보이|10.0|5.00|8.82
판소리 복서|9.21|5.80|6.01
여배우들의 티타임|7.00|6.33|7.64
여수 밤바다|10.0||7.69
열두 번째 용의자|6.63|6.00|6.71
헤드헌터|||
첫잔처럼|||8.86
너를 만난 여름|8.07|5.50|8.25
버티고|7.05|5.14|6.18
어벤져스 오브 저스티스|||4.34
콘택트: 지구 최후의 날|||0.00
고골: 악령과의 전쟁|||6.17
꼬마 자전거 스피디|7.00||7.74
두번할까요|7.26|3.50|4.99
리메모리-기억추출|||
말레피센트 2|8.50|5.67|7.08
북간도의 십자가|8.78||7.80
신문기자|7.35|6.20|8.12
오늘도 위위|10.0|5.00|9.45
와일드 로즈|8.90|7.00|8.41
재혼의 기술|4.00||7.43
카르텔 2045|||1.00
당문|||
82년생 김지영|9.13|6.79|6.71
람보: 라스트 워|8.27|3.00|8.54
빅트립: 아기팬더 배달 대모험|6.43||7.57
체크 히어로|7.60|5.75|7.38
경계선|8.46|7.29|8.20
버스데이 원더랜드|||7.09
스노우 화이트|10.0|5.00|6.08
시크릿 슈퍼스타|9.14|6.00|9.31
워 이베이젼|||5.93
퍼펙트 스트레인저|8.00|6.00|7.62
날씨의 아이|8.36|6.57|7.94
니나 내나|8.00|5.67|8.19
빅 2: 황금열쇠 대소동|7.50||7.12
빅 위시|7.00|6.00|5.07
사선의 끝|10.0||7.95
엔젤 오브 마인||4.50|8.55
쿠엔틴 타란티노 8|9.00|6.00|8.30
터미네이터: 다크 페이트|8.56|6.43|8.45
프렌드 존||4.00|8.37
하이 라이프|6.33|7.00|6.60
오늘, 우리|8.94|6.25|8.86
우먼 인 할리우드|9.50|6.40|9.28
웰컴 투 스웨덴|||0.00
텔 잇 투 더 비즈|8.00|6.00|8.24
가족이 되기까지|||
레드 사이렌|||
아직 지나지 않은 여름|||7.00
닥터 슬립|8.58|7.50|8.50
더 빌리지||6.00|5.18
몬스터|||
신의 한 수: 귀수편|8.69|5.00|7.79
열여섯의 봄|10.0|6.00|5.92
왓 데이 해드|7.43|6.00|8.57
졸업|||8.57
캔 유 킵 어 시크릿?|6.00|3.67|7.17
타이페이 스토리|8.38|7.40|8.00
패트와 매트: 우당탕탕 크리스마스|6.00|5.00|2.48
드레드아웃|||
블랙 머니|8.75|6.00|8.41
어쩌다 룸 메이트|7.33|7.00|7.94
엔젤 해즈 폴른|8.95|5.00|8.30
좀비랜드: 더블 탭|8.47|6.50|7.95
귀권|||
늑대의 아이들||6.50|5.10
대통령의 7시간|9.40||5.97
더 컨덕터|9.43|5.67|9.03
마법안개의 비밀: 황금 보물선을 찾아라|6.00||5.60
삽질|9.33|6.00|6.52
심판|||
영하의 바람|9.00|6.75|8.22
울프 특공대|||1.00
윤희에게|9.21|6.71|8.95
카메라를 멈추면 안 돼! 스핀오프: 할리우드 대작전|8.00|6.00|6.75
캡티브 스테이트||6.00|5.95
헬로 몽키|8.00|6.00|8.38
알카트라즈: 죽음의 수용소|||
겨울왕국 2|8.95|6.75|8.70
시빌|9.00|5.67|7.69
아빠는 예쁘다|10.0|4.67|7.78
어제 일은 모두 괜찮아|9.68|4.00|8.76
얼굴없는 보스|5.14|2.50|3.27
접전: 갑을 전쟁|||6.49
코끼리는 그곳에 있어|8.75|7.67|9.00
크리미널: 해튼가든|||5.64
프란치스코 교황: 맨 오브 히스 워드|9.55|6.33|8.56
헤로니모|9.32|6.33|9.46
해킹 헌터: 마인드 컨트롤|||6.67
나를 찾아줘|8.29|5.67|6.84
러브 앳|10.0|6.00|9.23
오피셜 시크릿|9.38|6.00|8.62
카센타|7.20|7.00|7.24
크롤|8.25|5.75|6.52
