meta_title,sub_title,engl_title,open_dy,dmst_spct_cnt
사선의 끝,,The Threshold of Death,20191030,30
사이코패스,,Psychopaths,20190905,
사일런스,,The Silence,20190717,
사자,,The Divine Fury,20190731,406115
사탄의 인형,,Child's Play,20190620,60340
사탄의 인형: 상속 받은 저주,,Dolls,20191212,
산타 앤 컴퍼니,,Christmas & Co,20191212,
살인마 잭의 집,,The house that Jack built,20190221,
삼촌,,The Uncle,20191128,341
삽질,,Rivercide: The Secret Six,20191114,261
상간녀 살인사건,,An Affair to Die For,20190723,
샐린저,,SALINGER,20191212,
생사결,,The Brink,20190701,
생일,,Birthday,20190403,10411
샤잠!,,SHAZAM!,20190403,802
서스페리아,,Suspiria,20190516,1412
선희와 슬기,,Second Life,20190327,1379
세계는 오늘부터 너의 것,,Her Sketchbook,20190507,
세상을 바꾼 변호인,,ON THE BASIS OF SEX,20190613,439
소은이의 무릎,,Hoop It Up,20190530,384
소피와 드래곤: 마법책의 비밀,,The Princess and The Dragon,20191002,312
속물들,,The Snob,20191212,
솔져스 메모리,,Legionario,20190627,
수상한 교수,,The Professor,20190815,478
수상한 이웃,,Rainbow Playground,20191009,895
수영장으로 간 남자들,,Sink or Swim,20190718,233
수퍼 디스코,,Super Disco,20191128,1120
숲속왕국의 꿀벌 여왕,,Tall Tales,20190314,509
슈퍼 햄찌,,Supermarsu,20190926,
슈퍼미니 2,,Minuscule: Mandibles From Far Away,20190227,
스노우 화이트,,Pure As Snow,20191024,
스마트폰을 떨어뜨렸을 뿐인데,,Stolen Identity,20190404,
스카이 라인: 더 비욘드,,BEYOND THE SKY,20190425,
스탈린이 죽었다!,,The Death of Stalin,20190418,
스튜핏 영 하트,,Stupid Young Heart,20191209,
스트롱거,,STRONGER,20190627,164
스파이더맨: 파 프롬 홈,,Spider-Man: Far From Home,20190702,8021070
스페셜 솔져,,AMERICAN BULLET,20190926,
스피닝 맨,,SPINNING MAN,20190425,
시동,,START-UP,20191218,2526118
시민 노무현,,Citizen Roh,20190523,12071
시빌,,Sibyl,20191121,
시인 할매,,"The Poem, My Old Mother",20190205,3004
시크릿 슈퍼스타,,Secret Superstar,20191024,9454
신 배틀로얄:극악 소년원,,New Juvenile prison Battle Royale 1,20190110,
신 배틀로얄:극악 소년원 2,,New Juvenile prison Battle Royale 2,20190110,
신데렐라:마법 반지의 비밀,,Cinderella and The Secret Prince,20190220,206681
신문기자,,The Journalist,20191017,9673
신밧드와 마법 양탄자,,Up and away,20190213,
신비아파트 극장판: 하늘도깨비 대 요르문간드,,The Haunted House: The Sky Ghost VS Jormungandr,20191219,
신의 한 수: 귀수편,,The Divine Move 2: The Wrathful,20191107,2143617
실화: 숨겨진 비밀,,Based on a True Story,20190228,
심장소리,,Pulse,20190328,
심판,,In the Fade,20191114,307
싸움의 기술,,,20191129,
썬키스 패밀리,,Sunkist Family,20190327,26086
쎈놈,,,20190411,
쓰리 세컨즈,,Three Seconds,20190620,
아내를 죽였다,,Killed My Wife,20191211,
아녜스가 말하는 바르다,,Varda by Agnes,20190530,1102
아메리카 뮤직&와일드,,America's Musical Journey & America Wild,20190424,
아빠는 딸,,Daddy Issues,20190905,
