META_ID,BTV_LIKE_NCNT,BTV_NGOOD_NCNT,BTV_PNT,WATCHA_EVAL_NCNT,WATCHA_RVW_PNT,CINE21_EVAL_NCNT,CINE21_NTNZ_PNT,CINE21_CRTC_PNT
MM1000316080,44,1,,368,3.50,4,,7
MM1000316522,354,17,,4543,3.48,1,,5
MM1000318656,2551,437,,12906,3.77,7,8,6.83
MM1000323334,1317,786,,3246,2.78,4,5,5.67
MM1000323701,362,10,,1243,3.29,1,,7
MM1000323799,20,7,,220,2.45,3,,5
MM1000324144,622,127,,13210,3.66,4,,6.75
MM1000324783,1178,34,,1295,2.91,3,10,5.5
MM1000325247,31788,2698,,37139,3.09,4,6.33,7
MM1000327905,330,9,,2317,4.12,4,10,6.33
MM1000328522,258,31,,14485,3.74,5,8,7
MM1000337192,1,2,,134,3.39,1,,5
MM1000337943,9,0,,112,2.97,2,,6
MM1000338484,,,,46,2.93,1,,5
MM1000339155,5,11,,226,3.25,2,,7.5
MM1000339931,8,1,,160,3.44,3,10,5.5
MM1000340383,,,,126,2.74,2,10,6
MM1000340424,,,,71,3.34,2,10,6
MM1000341148,3707,689,,1402,2.47,4,7.5,3
MM1000341718,47487,4815,,24749,2.71,9,6.75,6
MM1000343504,1470,269,,7792,2.20,5,6.5,5
MM1000349824,3,1,,7522,2.80,4,5.5,6.5
MM1000360572,203,16,,4555,3.51,4,8.5,7
MM1000129535,2067,219,,3102,2.58,2,7,7
MM1000142829,108,40,,573,3.18,2,,7
MM1000152744,4,1,,149,3.27,3,,6
MM1000152870,,,,16602,3.38,2,8,6
MM1000156850,2205,59,,10903,3.21,1,,7
MM1000176290,7688,2012,,7466,2.46,5,5,4.25
MM1000178083,14,2,,529,2.65,2,,5
MM1000182030,19,2,,846,3.03,2,,5.5
MM1000183639,43,0,,4204,4.23,2,,6
MM1000191797,22247,2283,,61405,3.11,7,5,5.2
MM1000193320,278,86,,4915,3.56,8,6.5,8.17
MM1000194052,3,1,,841,3.34,5,,6.8
MM1000199295,27,0,,4457,3.63,2,,6.5
MM1000200785,82,69,,1046,1.74,5,5,4
MM1000204996,7334,1398,,35263,3.68,11,9,7.2
MM1000205038,524,33,,14156,3.66,6,7.5,6.75
MM1000233024,13,5,,114,2.79,1,,6
MM1000235938,41,7,,269,2.57,2,,3
MM1000239636,1,0,,416,3.24,3,,5.67
MM1000244805,2,0,,221,2.60,2,,5.5
MM1000249539,3,2,,1741,3.44,6,6.5,6.25
MM1000256138,27250,2207,,17444,2.77,6,4,4.67
MM1000264507,17,3,,845,3.29,2,,6.5
MM1000273546,130160,9216,,217711,4.28,25,8.93,9.09
MM1000275237,2368,982,,3310,2.68,4,6,3.67
MM1000292737,6998,1131,,18021,2.67,7,5.67,5.75
MM1000300098,265,16,,112,3.49,1,,5
MM1000302817,25313,992,,112398,3.60,7,7,6.5
MM1000305840,3078,217,,9785,3.15,3,5,6
MM1000311677,1332,40,,1608,3.38,2,6,5
MM1000314015,12246,1183,,20857,2.87,9,8.5,7.4
MM1000323345,37418,2465,,7735,2.65,4,10,5
MM1000325679,8221,756,,5474,2.63,4,5,5
MM1000326276,4505,377,,26277,3.90,8,,8.5
MM1000328792,2136,360,,1857,3.20,4,6,6.5
MM1000330074,23914,889,,3528,2.88,5,6.67,5
MM1000332163,16,6,,139,2.41,4,10,4.67
MM1000333080,,,,19,3.61,2,10,
MM1000334701,20,25,,120,3.72,1,8,
MM1000335764,5980,1115,,6431,2.65,6,7,6
MM1000337879,1161,106,,3628,2.80,4,8.5,5.5
MM1000338593,18010,466,,14168,3.13,5,6.67,5.5
MM1000340382,16920,1204,,27071,3.46,11,7.5,6.4
MM1000369291,,,,11740,3.23,8,7.75,6.5
MM1000115408,30,19,,214,2.96,1,,5
MM1000117095,7809,2680,,7081,2.25,4,4.33,3
MM1000123495,46,8,,3385,3.15,4,7.67,6
MM1000126752,,,,98,3.11,1,,5
MM1000131580,20,0,,968,3.18,2,,5.5
MM1000141651,54,2,,282,3.46,1,,6
MM1000143978,,,,13,2.81,1,,4
MM1000144473,348,28,,8028,3.88,8,7.33,7
MM1000144971,51,8,,255,2.95,2,7,7
MM1000147399,1210,73,,525,2.44,2,,6
MM1000149881,,,,5399,3.66,7,8,7.17
MM1000159247,15940,57,,97481,4.17,8,8.67,7.2
MM1000168024,18,3,,253,3.19,1,,3
MM1000179986,273,13,,7053,3.52,5,10,7.33
MM1000181337,894,120,,3526,3.45,5,7,6.75
MM1000187998,6,2,,197,2.75,2,,6
MM1000191128,2327,1183,,3751,2.90,3,6,8
MM1000199599,5673,472,,15839,2.74,6,5.5,5.75
MM1000222551,26,7,,15051,4.00,17,8.31,8.25
MM1000235662,5,0,,72,2.13,2,,4.5
MM1000241145,,,,1511,3.42,3,,6.67
MM1000243047,45,7,,513,3.08,3,,6.33
MM1000249360,809,121,,7434,2.71,5,4.5,5
MM1000255539,12715,919,,37645,3.38,8,7,7
MM1000265922,1,3,,363,2.14,3,,5
MM1000273673,77,32,,4048,3.75,1,,8
MM1000278740,681,25,,1896,3.21,4,,6.75
MM1000289681,2081,112,,7279,3.11,2,6,5
MM1000293549,15,6,,5347,2.83,4,5,7.33
MM1000297985,25,2,,1147,3.41,5,,6.4
MM1000314090,292,48,,1405,2.51,3,10,6
MM1000314140,59859,846,,150761,3.89,9,8.25,5.8
MM1000315713,417,41,,390,2.99,1,,6
MM1000318800,17712,1128,,6159,2.64,7,3.67,4.5
MM1000319227,261,122,,3333,3.20,3,,5.67
MM1000319282,5927,874,,5043,3.12,3,6,5.5
MM1000319387,14,1,,490,2.74,1,,5
MM1000321327,9,2,,193,3.12,2,,6.5
MM1000322115,6,0,,86,3.24,2,,5.5
MM1000322844,408,36,,598,3.35,4,6,6
MM1000326284,9,3,,192,3.36,4,10,6
