META_ID,PRS_ID,PRS_NM,PRS_ROLE_NM,FILMOGRAPHY
MM1000189092,MP0000091561,최현영,감독(연출),막다른 골목의 추억
MM1000189112,MP0000077553,브렌든 멀다우니,감독(연출),필그리미지
MM1000190550,MP0000005155,나카다 히데오,감독(연출),스마트폰을 떨어뜨렸을 뿐인데
MM1000190786,MP0000145150,백승기,감독(연출),오늘도 평화로운
MM1000191128,MP0000044450,한스 페터 몰란트,감독(연출),콜드 체이싱
MM1000191569,MP0000005140,해럴드 즈워트,감독(연출),12번째 솔저
MM1000191797,MP1000006062,박누리,감독(연출),돈
MM1000193316,MP0000165158,데니스 체르노프,감독(연출),키코리키: 시간여행
MM1000193320,MP0000005320,폴 슈레이더,감독(연출),퍼스트 리폼드
MM1000194052,MP1000006223,박근영,감독(연출),한강에게
MM1000194134,MP0000004643,홍상수,감독(연출),강변호텔|풀잎들|클레어의 카메라|그 후|밤의 해변에서 혼자
MM1000194144,MP1000006265,미구엘 우리에가스,감독(연출),똑딱똑딱 마법의 시계나라
MM1000194165,MP0000027609,피에르 모렐,감독(연출),아이 엠 마더
MM1000194198,MP1000000639,댄 알렌,감독(연출),미이라: 악령의 부활
MM1000194207,MP1000006268,시몬 카이저,감독(연출),스피닝 맨
MM1000194528,MP1000006282,풀비오 세스티토,감독(연출),스카이 라인: 더 비욘드
MM1000196039,MP1000006301,이창근,감독(연출),로망
MM1000196316,MP1000006307,크리스토퍼 칼드웰,감독(연출),프로스펙트
MM1000198165,MP0000027258,로베르트 슈벤트케,감독(연출),더 캡틴
MM1000198200,MP0000114619,정용주,감독(연출),"다시, 봄"
MM1000198252,MP0000064038,브뤼노 포달리데,감독(연출),베카신!|렛 더 선샤인 인
MM1000199214,MP0000166764,프랭키 첸,감독(연출),장난스런 키스
MM1000199295,MP0000166502,사라 코랑겔로,감독(연출),나의 작은 시인에게
MM1000199551,MP0000165367,곽범,감독(연출),유랑지구
MM1000199599,MP0000154453,데이비드 F. 샌드버그,감독(연출),샤잠!|애나벨: 인형의 주인
MM1000199616,MP0000162035,그렉 맥길리브레이,감독(연출),아메리카 뮤직&와일드
MM1000199742,MP1000006488,김재희,감독(연출),노무현과 바보들
MM1000199787,MP1000006493,미즈노 시게노리,감독(연출),안도 타다오
MM1000200340,MP0000027912,아만도 이아누치,감독(연출),스탈린이 죽었다!
MM1000200785,MP1000006539,김성기,감독(연출),왓칭
MM1000200852,MP1000006543,윤미아,감독(연출),봄은 온다
MM1000202388,MP0000051799,안드레이 즈비아긴체프,감독(연출),러브리스
MM1000204215,MP1000006635,라우라 비스푸리,감독(연출),도우터 오브 마인
MM1000204996,MP0000000896,김윤석,감독(연출),미성년|암수살인|1987|남한산성
MM1000205038,MP0000047523,아담 맥케이,감독(연출),바이스
MM1000205076,MP0000112351,류장하,감독(연출),뷰티플 마인드|더 펜션
MM1000205095,MP1000006582,이종언,감독(연출),생일
MM1000205389,MP1000006575,구두문두르 아르나르 구드문드손,감독(연출),하트스톤
MM1000205583,MP0000165458,케빈 콜쉬,감독(연출),공포의 묘지
MM1000206226,,,,
MM1000208703,MP1000006679,스콧 빅커스,감독(연출),매트리악
MM1000209557,MP1000006706,마이클 차베즈,감독(연출),요로나의 저주
MM1000209677,MP0000141943,니콜라스 맥카시,감독(연출),프로디지
MM1000209818,MP0000039699,강지은,감독(연출),크게 될 놈
MM1000210407,MP0000044934,이구치 노보루,감독(연출),"각오는 됐나, 거기 여자"
MM1000210517,MP0000024877,구로사와 기요시,감독(연출),해안가로의 여행|산책하는 침략자|은판 위의 여인
MM1000213272,MP0000138493,미이케 다카시,감독(연출),라플라스의 마녀
MM1000213326,MP0000036334,케빈 그루터트,감독(연출),자칼
MM1000213689,MP0000085689,애너 보든,감독(연출),캡틴 마블
MM1000216083,MP0000030253,김소영,감독(연출),굿바이 마이 러브NK: 붉은 청춘|고려 아리랑: 천산의 디바
MM1000216424,MP0000034119,패디 브레스내치,감독(연출),로지
MM1000217152,MP0000152397,미셸 프랑코,감독(연출),에이프릴의 딸
MM1000217297,MP0000153769,미키 코이치로,감독(연출),고양이 여행 리포트|식물도감
MM1000218541,MP1000006944,졸탄 풀레,감독(연출),위대한 전진
MM1000218622,MP1000006952,사라 대거 닉슨,감독(연출),비질란테
MM1000218691,MP1000006980,이은기,감독(연출),파업전야
MM1000218824,MP1000006984,요시자와 토시카즈,감독(연출),기동전사 건담 내러티브
MM1000220228,MP0000101064,김현호,감독(연출),뽀로로 극장판 보물섬 대모험|뽀로로 공룡섬 대모험
MM1000220301,MP0000113865,육상효,감독(연출),나의 특별한 형제
MM1000220335,MP1000007012,줄리아 하트,감독(연출),유전: 더 제네시스|미스 스티븐스
MM1000220337,MP0000022589,피터 헤지스,감독(연출),벤 이즈 백
MM1000220391,MP0000005396,올리비에 아사야스,감독(연출),논-픽션|퍼스널 쇼퍼
MM1000221204,MP0000149689,김선웅,감독(연출),뷰티풀 보이스
MM1000221238,MP0000148887,이토 나오유키,감독(연출),너의 목소리
MM1000222551,MP0000032859,장 피에르 다르덴,감독(연출),로제타|언노운 걸
MM1000223613,MP0000012647,브라이언 헨슨,감독(연출),해피타임 스파이
MM1000225480,MP0000148799,나가사키 켄지,감독(연출),나의 히어로 아카데미아 더 무비: 두 명의 히어로
MM1000226188,MP1000007178,아르튀르 드 팽,감독(연출),몬스터 랜드
MM1000227536,MP0000097885,홍승완,감독(연출),배심원들
MM1000227591,MP0000001378,테리 길리엄,감독(연출),돈키호테를 죽인 사나이
MM1000227592,MP0000104594,롭 레터맨,감독(연출),명탐정 피카츄
MM1000227593,MP0000165750,에반 트라멜,감독(연출),언더 더 씨2|언더 더 씨
MM1000227660,MP1000007264,자크 클루거,감독(연출),플레이 오어 다이
MM1000228470,MP0000156098,정다원,감독(연출),걸캅스|게스트하우스
MM1000228485,MP1000006937,루드위그 샤마시안,감독(연출),죄와 벌
MM1000229143,MP1000007313,안소니 마라스,감독(연출),호텔 뭄바이
MM1000229398,MP0000123960,루카 구아다니노,감독(연출),서스페리아|콜 미 바이 유어 네임
MM1000229619,,,,
MM1000229624,MP1000007254,오모리 타츠시,감독(연출),일일시호일
MM1000230540,MP0000055390,에릭 쿠,감독(연출),우리가족: 라멘샵|호텔룸
MM1000231356,MP0000097982,타쿠마 타카유키,감독(연출),아이 아이 가사: 다시 만난 그날
MM1000231990,MP1000007381,저스틴 밸도니,감독(연출),파이브 피트
MM1000232904,MP0000151531,다비드 오엘호펜,감독(연출),클로즈 에너미
MM1000232958,MP0000023586,김문옥,감독(연출),메기의 추억
MM1000232989,MP0000023911,장규성,감독(연출),어린 의뢰인
MM1000233024,MP0000165761,진재운,감독(연출),물의 기억
MM1000233085,MP1000007395,김서윤,감독(연출),우리 지금 만나
MM1000234175,MP0000040475,유선동,감독(연출),0.0mhz
MM1000235662,MP1000007486,최헌규,감독(연출),소은이의 무릎
MM1000235736,MP0000000431,차인표,감독(연출),옹알스
MM1000235768,MP1000007469,라스 클리브버그,감독(연출),사탄의 인형|폴라로이드
MM1000235938,MP1000007460,신상민,감독(연출),행동하는 양심 김대중|1919 유관순
MM1000237467,MP0000165010,이원태,감독(연출),악인전|대장 김창수
MM1000237953,MP0000140221,랜스 데일리,감독(연출),블랙 47
MM1000238030,MP0000143830,백재호,감독(연출),시민 노무현|대관람차
MM1000238220,MP0000017549,아녜스 바르다,감독(연출),아녜스가 말하는 바르다|바르다가 사랑한 얼굴들
MM1000238224,MP0000091317,니시타니 히로시,감독(연출),평일 오후 3시의 연인
MM1000238938,MP0000004803,스티븐 소더버그,감독(연출),체 게바라: 1부 아르헨티나|체 게바라: 2부 게릴라|로건 럭키
MM1000238946,MP0000004803,스티븐 소더버그,감독(연출),체 게바라: 1부 아르헨티나|체 게바라: 2부 게릴라|로건 럭키
MM1000239007,MP1000007607,하디 모하메디안,감독(연출),엘리펀트킹 덤보
MM1000239043,MP1000007651,신우,감독(연출),빅샤크2 : 해저2만리
MM1000239051,MP1000007610,자레드 벤틀리,감독(연출),완벽한 살인
MM1000239636,MP1000007674,필립 예디케,감독(연출),닥치고 피아노!
MM1000241145,MP0000007976,미셸 오슬로,감독(연출),파리의 딜릴리
MM1000241531,MP0000167224,데이비드 야로베스키,감독(연출),더 보이
MM1000242299,MP0000054309,마이클 도허티,감독(연출),고질라: 킹 오브 몬스터
MM1000242724,MP0000005098,팀 버튼,감독(연출),덤보
MM1000243047,MP0000150188,마츠나가 다이시,감독(연출),하나레이 베이
MM1000243830,MP0000001712,덱스터 플레처,감독(연출),로켓맨|잇 로컬
MM1000243861,MP1000007756,에두아르도 H. 가자  ,감독(연출),솔져스 메모리
MM1000243893,MP1000007760,빌리 루이스,감독(연출),파라노말 액티비티: 드림하우스
MM1000244805,MP1000007774,이원영,감독(연출),검은 여름
MM1000244848,MP1000007776,프레드 그리부아,감독(연출),퍼펙트 타겟
MM1000244895,MP0000029445,닐 버거,감독(연출),업사이드
MM1000244916,MP1000007822,조동희,감독(연출),사범
MM1000245384,MP1000007684,에구치 칸,감독(연출),라이딩 업힐
MM1000245901,MP0000004657,미미 레더,감독(연출),세상을 바꾼 변호인
MM1000245907,MP0000147504,미시마 유키코,감독(연출),비블리아 고서당 사건수첩|친애하는 우리 아이
MM1000245912,MP1000007857,피터 리볼시,감독(연출),하우스 오브 투모로우
MM1000248263,MP0000142807,안톤 메게르디체브,감독(연출),쓰리 세컨즈
MM1000248467,MP1000007925,이자준,감독(연출),생사결
MM1000249360,MP0000028991,닐 마샬,감독(연출),헬보이
MM1000249539,MP0000112584,미카엘 하네케,감독(연출),해피엔드
MM1000250334,MP0000143270,세바스찬 렐리오,감독(연출),글로리아 벨|판타스틱 우먼
MM1000251079,MP0000158568,스브야토슬라브 포드가에브스키,감독(연출),머메이드: 죽음의 호수
MM1000251085,MP1000007872,크리스토퍼 A. 믹클로스 ,감독(연출),공포의 신생아실
MM1000251110,MP0000044963,안주영,감독(연출),보희와 녹양
MM1000251139,MP0000155658,저스틴 프라이스,감독(연출),엘프: 사탄의 인형
MM1000252716,MP1000007917,달라스 모건,감독(연출),지구 최후의 날 2019
MM1000253148,MP0000032471,데이빗 고든 그린,감독(연출),스트롱거|할로윈
MM1000254416,MP0000143743,닐 조단,감독(연출),마담 싸이코
MM1000255211,MP1000008077,황예,감독(연출),죽음을 거스른 사나이
MM1000255498,MP1000008195,빌 홀더먼,감독(연출),북클럽
MM1000255524,MP0000004921,F. 게리 그레이,감독(연출),맨 인 블랙: 인터내셔널|분노의 질주: 더 익스트림
MM1000255539,MP0000004890,로버트 로드리게즈,감독(연출),알리타: 배틀 엔젤
MM1000256138,MP0000094661,강윤성,감독(연출),롱 리브 더 킹: 목포 영웅|범죄도시
MM1000256327,MP1000008239,미카엘 허스,감독(연출),쁘띠 아만다
MM1000256486,MP1000008091,마리 몽쥬,감독(연출),트리트 미 라이크 파이어
MM1000257929,MP0000066824,바비 모레스코,감독(연출),벤트: 마약의 도시
MM1000258235,MP0000094176,원종식,감독(연출),별의 정원
MM1000259292,MP1000008290,이승현,감독(연출),에움길
MM1000259938,MP0000023661,이정호,감독(연출),비스트
MM1000259949,MP1000008336,강상우,감독(연출),김군
MM1000260571,MP0000144445,스테이시 패슨,감독(연출),우리는 언제나 성에 살았다
MM1000260661,MP0000033199,멜라니 로랑,감독(연출),화이트 라이언 찰리|갤버스턴|몽 가르송|다이빙: 그녀에 빠지다|내일|이터너티
MM1000260823,MP1000008291,미키 맥그래거,감독(연출),컨저링 하우스
MM1000263167,MP0000115242,켈리 애스버리,감독(연출),어글리 돌|스머프: 비밀의 숲
MM1000263910,MP0000024355,리처드 이어,감독(연출),칠드런 액트
MM1000263927,MP0000098398,사이토 타쿠미,감독(연출),13년의 공백|평일 오후 3시의 연인|우리가족: 라멘샵|리:본
MM1000264495,MP1000008515,로버트 페르난데스,감독(연출),천로역정: 천국을 찾아서
MM1000264507,MP1000008513,임정환,감독(연출),국경의 왕
MM1000264533,MP0000106455,드레이크 도리머스,감독(연출),조|라이크 크레이지
MM1000264926,MP0000139698,켄 스콧,감독(연출),이케아 옷장에서 시작된 특별난 여행
MM1000264987,MP0000004938,유위강(리우웨이창),감독(연출),쿵푸몬스터: 무림괴수전|[프리미어]후난성 전투
MM1000265716,MP0000082469,사쿠라비 카츠시,감독(연출),던전에서 만남을 추구하면 안 되는 걸까? -오리온의 화살-
